City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
197,Dubti,ET,11.7361,41.0853,80.49,53,0,11.77,clear sky
198,Pangai,TO,-19.8,-174.35,78.4,69,99,8.14,overcast clouds
199,Vestmannaeyjar,IS,63.4427,-20.2734,43.72,79,37,21.52,scattered clouds
200,Porto Novo,BJ,6.4965,2.6036,78.62,90,83,3.85,moderate rain
201,Mezen,RU,65.8522,44.24,33.71,96,100,5.84,overcast clouds
202,Koshurnikovo,RU,54.1667,93.3,10.49,71,97,8.59,overcast clouds
203,Arraial Do Cabo,BR,-22.9661,-42.0278,71.64,89,1,14.03,clear sky
204,Bria,CF,6.5423,21.9863,70.43,41,99,4.32,overcast clouds
205,Buritizeiro,BR,-17.3511,-44.9622,68.2,88,100,1.81,overcast clouds
206,Ambilobe,MG,-13.2,49.05,83.98,63,63,2.37,broken clouds
207,Takoradi,GH,4.8845,-1.7554,77.52,82,95,4.72,light rain
208,Boda,CF,4.3189,17.4695,74.03,60,40,0.58,scattered clouds
209,Port Moresby,PG,-9.4431,147.1797,78.22,94,100,11.5,light rain
210,Caucaia,BR,-3.7361,-38.6531,80.55,73,20,14.97,few clouds
211,Coloso,CO,9.4915,-75.3615,75.15,94,100,4.56,overcast clouds
212,Vadso,NO,70.0744,29.7487,28.56,93,75,9.22,broken clouds
213,Eyl,SO,7.9803,49.8164,81.91,57,99,15.86,overcast clouds
214,Mandalgovi,MN,45.7625,106.2708,31.51,40,1,16.15,clear sky
215,Ngaoundere,CM,7.3167,13.5833,66.54,43,39,3.56,scattered clouds
216,Kloulklubed,PW,7.0419,134.2556,84.7,74,100,11.12,overcast clouds
217,Thinadhoo,MV,0.5333,72.9333,81.07,77,60,18.9,broken clouds
218,Samarai,PG,-10.6167,150.6667,82.98,78,91,16.04,moderate rain
219,Beringovskiy,RU,63.05,179.3167,-3.59,87,6,20.62,clear sky
220,Kikwit,CD,-5.041,18.8162,71.74,95,100,1.61,overcast clouds
221,Springdale,US,36.1867,-94.1288,31.05,66,0,5.75,clear sky
222,Carstairs,CA,51.5668,-114.102,33.62,64,100,7.0,overcast clouds
223,Bollnas,SE,61.3482,16.3946,30.58,78,98,10.54,light snow
224,Eldorado,BR,-23.7869,-54.2836,71.78,69,90,7.52,overcast clouds
225,Tilichiki,RU,60.4667,166.1,-7.98,91,12,7.74,few clouds
226,Goalpara,IN,26.1667,90.6167,76.03,49,88,8.32,overcast clouds
227,Monrovia,LR,6.3005,-10.7969,75.33,89,97,5.28,moderate rain
228,Acton,GB,51.509,-0.2762,42.78,93,100,3.44,overcast clouds
229,Port Hedland,AU,-20.3167,118.5667,89.65,19,100,16.11,overcast clouds
230,Touros,BR,-5.1989,-35.4608,77.29,78,60,12.93,broken clouds
231,Vila Franca Do Campo,PT,37.7167,-25.4333,68.2,96,92,7.72,light rain
232,Pisco,PE,-13.7,-76.2167,62.65,88,97,0.0,mist
233,Codrington,AU,-38.2667,141.9667,49.37,67,71,28.1,light rain
234,Port Lincoln,AU,-34.7333,135.8667,57.27,52,82,20.42,broken clouds
235,Diamantino,BR,-14.4086,-56.4461,71.85,81,5,5.35,clear sky
236,Massakory,TD,12.996,15.7293,71.67,18,10,11.9,clear sky
237,Madimba,TZ,-10.4,40.3333,83.73,65,36,7.11,scattered clouds
238,Santa Rosa,PH,14.3122,121.1114,88.09,75,77,14.2,broken clouds
239,Beloha,MG,-25.1667,45.05,74.28,54,81,11.97,broken clouds
240,Ambovombe,MG,-25.1667,46.0833,75.16,58,49,15.7,light rain
241,Yangambi,CD,0.8102,24.4336,73.22,91,71,2.66,broken clouds
242,Kabinda,CD,-6.1333,24.4833,72.34,82,100,0.56,overcast clouds
243,Jamestown,US,42.097,-79.2353,26.19,76,100,12.66,overcast clouds
244,Chupa,RU,66.27,33.0549,24.94,85,100,0.65,overcast clouds
245,Amapa,BR,1.0,-52.0,71.02,92,80,1.74,broken clouds
246,Vokhma,RU,58.9303,46.7586,12.87,76,4,1.81,clear sky
247,Biltine,TD,14.5333,20.9167,69.01,19,6,6.22,clear sky
248,Arman,RU,59.7,150.1667,19.02,91,100,15.5,light snow
249,Cidreira,BR,-30.1811,-50.2056,69.26,88,51,18.12,broken clouds
250,Mutata,CO,7.2441,-76.4356,74.41,99,100,1.66,overcast clouds
251,Nishihara,JP,26.1842,127.7558,78.85,69,40,16.11,scattered clouds
252,Teguldet,RU,57.3064,88.1667,-3.6,80,97,9.42,overcast clouds
253,Svetlogorsk,BY,52.6333,29.7333,21.58,97,95,6.51,overcast clouds
254,Maralal,KE,1.0968,36.698,65.48,61,89,7.47,overcast clouds
255,Tabora,TZ,-5.0167,32.8,71.73,71,93,3.44,overcast clouds
256,Pierre,US,44.3683,-100.351,36.52,65,0,4.61,clear sky
257,Saskylakh,RU,71.9167,114.0833,-35.0,100,37,4.59,scattered clouds
258,Virginia Beach,US,36.8529,-75.978,37.42,72,20,0.0,few clouds
259,Kalanguy,RU,51.0167,116.5167,7.2,86,9,1.68,clear sky
260,Usinsk,RU,65.9939,57.5281,12.87,93,56,10.51,broken clouds
261,Flin Flon,CA,54.7682,-101.865,15.94,95,83,6.96,broken clouds
262,Huangnihe,CN,43.5583,128.0239,31.08,52,19,9.89,few clouds
263,Ewo,CG,-0.8725,14.8206,71.42,93,98,5.14,overcast clouds
264,Kozhevnikovo,RU,56.2589,83.9714,1.26,77,16,5.41,few clouds
265,Aklavik,CA,68.2191,-135.0107,7.57,97,100,5.19,overcast clouds
266,Xique-Xique,BR,-10.8218,-42.7263,73.72,74,87,8.99,overcast clouds
267,Longyearbyen,SJ,78.2186,15.6401,37.24,81,75,19.57,broken clouds
268,Aripuana,BR,-9.1667,-60.6333,71.71,94,23,1.59,few clouds
269,Richards Bay,ZA,-28.783,32.0377,71.56,56,7,8.43,clear sky
270,Okato,NZ,-39.2,173.8833,63.91,100,72,13.27,broken clouds
271,Baiao,BR,-2.7906,-49.6717,75.49,81,83,1.79,broken clouds
272,Avera,US,33.194,-82.5271,33.31,46,92,6.93,overcast clouds
273,Bowen,AU,-20.0167,148.2333,83.79,75,60,14.32,broken clouds
274,Gongzhuling,CN,43.5008,124.8198,34.16,57,1,10.13,clear sky
275,Tuktoyaktuk,CA,69.4541,-133.0374,21.2,93,100,3.44,mist
276,Ponta Delgada,PT,37.7333,-25.6667,68.5,94,75,13.8,broken clouds
277,Phonhong,LA,18.5007,102.4166,86.7,54,99,1.59,overcast clouds
278,Uspenskaya,RU,45.7645,41.067,58.05,61,100,7.05,overcast clouds
