City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
231,Vagur,FO,2022-11-13 10:01:03,61.4732,-6.8119,49.78,90,100,15.84
232,Mocuba,MZ,2022-11-13 10:01:03,-16.8392,36.9856,103.26,23,13,3.78
233,Inhambane,MZ,2022-11-13 10:01:04,-23.865,35.3833,86.59,61,86,13.04
234,Oudtshoorn,ZA,2022-11-13 10:01:04,-33.5907,22.2014,71.64,38,69,9.46
235,Havre-Saint-Pierre,CA,2022-11-13 10:01:05,50.2334,-63.5986,23.36,63,100,13.8
236,Sao Joao Da Barra,BR,2022-11-13 10:01:05,-21.6403,-41.0511,73.49,90,79,4.5
237,Pombas,CV,2022-11-13 10:01:05,17.1503,-25.0201,73.45,71,15,11.61
238,Arraial Do Cabo,BR,2022-11-13 10:01:06,-22.9661,-42.0278,71.82,87,52,6.31
239,Santa Maria,BR,2022-11-13 10:01:06,-29.6842,-53.8069,67.77,94,100,3.29
240,Beloha,MG,2022-11-13 10:01:07,-25.1667,45.05,89.38,41,80,14.23
241,Robe,AU,2022-11-13 10:01:07,-37.1833,139.75,59.58,81,0,13.47
242,Korla,CN,2022-11-13 10:00:30,41.7597,86.1469,45.61,32,0,6.62
243,Vilyuysk,RU,2022-11-13 10:01:08,63.7553,121.6247,-13.67,95,33,7.02
244,Westport,US,2022-11-13 10:00:48,41.1415,-73.3579,55.81,77,100,1.99
245,Bud,US,2022-11-13 10:01:08,39.447,-86.1758,32.02,93,10,6.87
246,Harbin,CN,2022-11-13 09:57:43,45.75,126.65,24.75,32,0,4.12
247,Agudos,BR,2022-11-13 09:59:53,-22.4692,-48.9875,68.14,79,0,6.91
248,Kodiak,US,2022-11-13 10:01:09,57.79,-152.4072,37.89,87,100,9.75
249,Husavik,IS,2022-11-13 10:01:10,66.0449,-17.3389,37.4,81,66,10.83
250,Darhan,MN,2022-11-13 10:01:10,49.4867,105.9228,25.66,41,10,4.59
251,Preobrazheniye,RU,2022-11-13 10:01:11,42.9019,133.9064,32.14,71,3,9.22
252,Kavaratti,IN,2022-11-13 10:01:11,10.5669,72.642,79.43,80,100,7.74
253,Cayenne,GF,2022-11-13 10:00:05,4.9333,-52.3333,71.64,100,100,0.0
254,Acaponeta,MX,2022-11-13 10:01:12,22.4964,-105.3594,65.44,88,2,3.04
255,Thinadhoo,MV,2022-11-13 10:01:13,0.5333,72.9333,81.93,75,93,15.5
256,Vila,PT,2022-11-13 10:01:14,42.0304,-8.1588,52.68,90,15,5.68
257,Ponta Delgada,PT,2022-11-13 10:00:32,37.7333,-25.6667,61.52,63,20,8.05
258,Port-Gentil,GA,2022-11-13 10:01:14,-0.7193,8.7815,84.16,74,40,11.5
